Item Code;Item
221;Almonds, with shell
711;Anise, badian, fennel, coriander
515;Apples
526;Apricots
44;Barley
558;Berries nes
569;Figs
512;Fruit, citrus nes
619;Fruit, fresh nes
541;Fruit, stone nes
560;Grapes
333;Linseed
56;Maize
568;Melons, other (inc.cantaloupes)
79;Millet
234;Nuts nes
260;Olives
403;Onions, dry
490;Oranges
534;Peaches and nectarines
521;Pears
223;Pistachios
536;Plums and sloes
116;Potatoes
211;Pulses nes
27;Rice, paddy
30;Rice, paddy (rice milled equivalent)
328;Seed cotton
289;Sesame seed
723;Spices nes
157;Sugar beet
156;Sugar cane
267;Sunflower seed
463;Vegetables, fresh nes
222;Walnuts, with shell
567;Watermelons
15;Wheat
1717;Cereals, Total
1804;Citrus Fruit, Total
1753;Fibre Crops Primary
1738;Fruit Primary
1731;Oilcrops
1841;Oilcrops, Cake Equivalent
1732;Oilcrops, Oil Equivalent
1726;Pulses, Total
1720;Roots and Tubers, Total
1723;Sugar Crops Primary
1729;Treenuts, Total
1735;Vegetables Primary
176;Beans, dry
414;Beans, green
181;Broad beans, horse beans, dry
358;Cabbages and other brassicas
426;Carrots and turnips
393;Cauliflowers and broccoli
531;Cherries
530;Cherries, sour
220;Chestnut
401;Chillies and peppers, green
397;Cucumbers and gherkins
577;Dates
399;Eggplants (aubergines)
406;Garlic
677;Hops
407;Leeks, other alliaceous vegetables
497;Lemons and limes
372;Lettuce and chicory
449;Mushrooms and truffles
75;Oats
430;Okra
402;Onions, shallots, green
417;Peas, green
394;Pumpkins, squash and gourds
523;Quinces
71;Rye
83;Sorghum
236;Soybeans
373;Spinach
544;Strawberries
495;Tangerines, mandarins, clementines, satsumas
826;Tobacco, unmanufactured
388;Tomatoes
420;Vegetables, leguminous nes
205;Vetches
366;Artichokes
486;Bananas
461;Carobs
191;Chick peas
689;Chillies and peppers, dry
603;Fruit, tropical fresh nes
507;Grapefruit (inc. pomelos)
242;Groundnuts, with shell
201;Lentils
187;Peas, dry
270;Rapeseed
97;Triticale
782;Bastfibres, other
217;Cashew nuts, with shell
125;Cassava
265;Castor oil seed
661;Cocoa, beans
656;Coffee, green
773;Flax fibre and tow
254;Oil palm fruit
574;Pineapples
789;Sisal
122;Sweet potatoes
571;Mangoes, mangosteens, guavas
136;Taro (cocoyam)
137;Yams
367;Asparagus
572;Avocados
101;Canary seed
108;Cereals nes
821;Fibre crops nes
210;Lupins
671;Maté
339;Oilseeds nes
600;Papayas
748;Peppermint
280;Safflower seed
423;String beans
667;Tea
275;Tung nuts
225;Hazelnuts, with shell
552;Blueberries
195;Cow peas, dry
550;Currants
592;Kiwi fruit
446;Maize, green
292;Mustard seed
587;Persimmons
547;Raspberries
89;Buckwheat
549;Gooseberries
103;Grain, mixed
777;Hemp tow waste
296;Poppy seed
554;Cranberries
249;Coconuts
197;Pigeon peas
489;Plantains and others
226;Areca nuts
813;Coir
720;Ginger
780;Jute
836;Rubber, natural
161;Sugar crops nes
542;Fruit, pome nes
459;Chicory roots
692;Vanilla
149;Roots and tubers nes
135;Yautia (cocoyam)
94;Fonio
263;Karite nuts (sheanuts)
224;Kola nuts
299;Melonseed
687;Pepper (piper spp.)
702;Nutmeg, mace and cardamoms
216;Brazil nuts, with shell
754;Pyrethrum, dried
92;Quinoa
591;Cashewapple
839;Gums, natural
788;Ramie
378;Cassava leaves
336;Hempseed
203;Bambara beans
693;Cinnamon (cannella)
698;Cloves
305;Tallowtree seed
800;Agave fibres nes
809;Manila fibre (abaca)
310;Kapok fruit
277;Jojoba seed
659;Coffee, extracts
660;Coffee, husks and skins
657;Coffee, roasted
658;Coffee, substitutes containing coffee
